freq_Hz,Re,Im
0.0000000000e+00,3.9795494657e+02,0.0000000000e+00
1.0010998411e+08,-5.8848296374e+02,5.5271461276e+01
2.0021996823e+08,7.6394984547e+02,-8.5901116241e+01
3.0032995234e+08,-7.3789342483e+02,1.0114455844e+02
4.0043993645e+08,7.1611023996e+02,-1.1331854703e+02
5.0054992057e+08,-6.9406261753e+02,1.2164245055e+02
6.0065990468e+08,6.7458143794e+02,-1.2511815575e+02
7.0076988879e+08,-6.5697400779e+02,1.2719942701e+02
8.0087987291e+08,6.4036729276e+02,-1.2512309049e+02
9.0098985702e+08,-6.2997733516e+02,1.2096427585e+02
1.0010998411e+09,6.2226135993e+02,-1.2059481071e+02
1.1012098252e+09,-6.1413795571e+02,1.2095323926e+02
1.2013198094e+09,6.0705915485e+02,-1.2255487487e+02
1.3014297935e+09,-5.9729415832e+02,1.2516317863e+02
1.4015397776e+09,5.8710301460e+02,-1.2489131179e+02
1.5016497617e+09,-5.7879546093e+02,1.2535191094e+02
1.6017597458e+09,5.6864123376e+02,-1.2580823478e+02
1.7018697299e+09,-5.6030606581e+02,1.2370715389e+02
1.8019797140e+09,5.5332725649e+02,-1.2321677668e+02
1.9020896982e+09,-5.4424565953e+02,1.2163216503e+02
2.0021996823e+09,5.3709073342e+02,-1.1904244056e+02
2.1023096664e+09,-5.2888005511e+02,1.1952077018e+02
2.2024196505e+09,5.1871970305e+02,-1.1767031216e+02
2.3025296346e+09,-5.1130930515e+02,1.1457971604e+02
2.4026396187e+09,5.0148981836e+02,-1.1316491005e+02
2.5027496028e+09,-4.9102068593e+02,1.0704883571e+02
2.6028595869e+09,4.8589744632e+02,-9.9992445479e+01
2.7029695711e+09,-4.8107630652e+02,9.6494858777e+01
2.8030795552e+09,4.7706830399e+02,-9.2332073632e+01
2.9031895393e+09,-4.7405283642e+02,8.8968658859e+01
3.0032995234e+09,4.6791049585e+02,-8.6645233221e+01
3.1034095075e+09,-4.6293107064e+02,8.4243158179e+01
3.2035194916e+09,4.5897819340e+02,-8.3212059581e+01
3.3036294757e+09,-4.5321701855e+02,8.0476232666e+01
3.4037394599e+09,4.4786107975e+02,-7.7899822979e+01
3.5038494440e+09,-4.4188363757e+02,7.8506625751e+01
3.6039594281e+09,4.3636145004e+02,-7.6456208351e+01
3.7040694122e+09,-4.3301195725e+02,7.3562405179e+01
3.8041793963e+09,4.2604080690e+02,-7.3269133951e+01
3.9042893804e+09,-4.1654904342e+02,7.0994491419e+01
4.0043993645e+09,4.1033699143e+02,-6.8181408145e+01
4.1045093486e+09,-4.0201901631e+02,6.4015808982e+01
4.2046193328e+09,3.9357249315e+02,-5.6150371451e+01
4.3047293169e+09,-3.8964868568e+02,4.9797395138e+01
4.4048393010e+09,3.8602737258e+02,-4.4251496576e+01
4.5049492851e+09,-3.8476159147e+02,3.8523202582e+01
4.6050592692e+09,3.8414546006e+02,-3.6384528919e+01
