freq_Hz,Re,Im
0.0000000000e+00,4.4235939952e+02,0.0000000000e+00
1.0012221951e+08,-6.5401271299e+02,6.1423733567e+01
2.0024443901e+08,8.4892767169e+02,-9.5461653726e+01
3.0036665852e+08,-8.1996929181e+02,1.1240125570e+02
4.0048887802e+08,7.9575710200e+02,-1.2592966569e+02
5.0061109753e+08,-7.7125158802e+02,1.3517622928e+02
6.0073331704e+08,7.4959955044e+02,-1.3903709299e+02
7.0085553654e+08,-7.3002634692e+02,1.4134695173e+02
8.0097775605e+08,7.1157040139e+02,-1.3903328602e+02
9.0109997556e+08,-7.0002439889e+02,1.3441374262e+02
1.0012221951e+09,6.9144217371e+02,-1.3400504960e+02
1.1013444146e+09,-6.8240959855e+02,1.3440192211e+02
1.2014666341e+09,6.7453395206e+02,-1.3618455290e+02
1.3015888536e+09,-6.6366919946e+02,1.3907784135e+02
1.4017110731e+09,6.5234053396e+02,-1.3877117060e+02
1.5018332926e+09,-6.4309810513e+02,1.3928528476e+02
1.6019555121e+09,6.3180334589e+02,-1.3978402100e+02
1.7020777316e+09,-6.2253930627e+02,1.3744707904e+02
1.8021999511e+09,6.1476926724e+02,-1.3690315633e+02
1.9023221706e+09,-6.0466752456e+02,1.3513221749e+02
2.0024443901e+09,5.9671101927e+02,-1.3225903239e+02
2.1025666096e+09,-5.8756581514e+02,1.3279034283e+02
2.2026888291e+09,5.7626973162e+02,-1.3071989055e+02
2.3028110486e+09,-5.6802668522e+02,1.2729051866e+02
2.4029332681e+09,5.5709055966e+02,-1.2570983508e+02
2.5030554877e+09,-5.4546073625e+02,1.1889494747e+02
2.6031777072e+09,5.3976694741e+02,-1.1106475551e+02
2.7032999267e+09,-5.3439335234e+02,1.0718040756e+02
2.8034221462e+09,5.2993689258e+02,-1.0254970324e+02
2.9035443657e+09,-5.2656407184e+02,9.8818219609e+01
3.0036665852e+09,5.1971930916e+02,-9.6232808324e+01
3.1037888047e+09,-5.1418474201e+02,9.3566489978e+01
3.2039110242e+09,5.0977188615e+02,-9.2418978004e+01
3.3040332437e+09,-5.0335400490e+02,8.9366494133e+01
3.4041554632e+09,4.9739080563e+02,-8.6517437011e+01
3.5042776827e+09,-4.9073010631e+02,8.7190692433e+01
3.6043999022e+09,4.8459245587e+02,-8.4891756842e+01
3.7045221217e+09,-4.8085443761e+02,8.1688595765e+01
3.8046443412e+09,4.7306686645e+02,-8.1360829270e+01
3.9047665607e+09,-4.6251935647e+02,7.8819437277e+01
4.0048887802e+09,4.5561074986e+02,-7.5695823114e+01
4.1050109998e+09,-4.4633611284e+02,7.1044819795e+01
4.2051332193e+09,4.3696341007e+02,-6.2301128134e+01
4.3052554388e+09,-4.3260177390e+02,5.5259304512e+01
4.4053776583e+09,4.2856519023e+02,-4.9092606381e+01
4.5054998778e+09,-4.2716195462e+02,4.2742865607e+01
4.6056220973e+09,4.2644196292e+02,-4.0388854952e+01
4.7057443168e+09,-4.2199095187e+02,3.9721508852e+01
4.8058665363e+09,4.1792291281e+02,-3.7579663532e+01
4.9059887558e+09,-4.1279611985e+02,3.4489765493e+01
5.0061109753e+09,4.0529751671e+02,-3.0485899156e+01
5.1062331948e+09,-3.9961268891e+02,2.7635409110e+01
5.2063554143e+09,3.9400983697e+02,-2.5803166056e+01
5.3064776338e+09,-3.8735484142e+02,2.1510084211e+01
5.4065998533e+09,3.8327378671e+02,-1.6455565956e+01
5.5067220728e+09,-3.8034224985e+02,1.2277511023e+01
5.6068442923e+09,3.7511912798e+02,-7.8296783787e+00
5.7069665119e+09,-3.6860535791e+02,4.9876080690e+00
5.8070887314e+09,3.6254880497e+02,-3.2396331381e+00
5.9072109509e+09,-3.5754177872e+02,-2.0540102873e+00
6.0073331704e+09,3.5272959011e+02,6.7893708903e+00
6.1074553899e+09,-3.4761255449e+02,-9.3506242130e+00
6.2075776094e+09,3.4534243355e+02,1.5464025850e+01
6.3076998289e+09,-3.4413995932e+02,-2.1539155817e+01
6.4078220484e+09,3.4081453494e+02,2.5464106375e+01
6.5079442679e+09,-3.3781178699e+02,-2.8672529513e+01
6.6080664874e+09,3.3560828113e+02,3.0927948617e+01
6.7081887069e+09,-3.3315686759e+02,-3.3133261212e+01
6.8083109264e+09,3.3008641620e+02,3.5289051062e+01
6.9084331459e+09,-3.2596815744e+02,-3.6335919107e+01
7.0085553654e+09,3.2161310535e+02,3.7206400129e+01
7.1086775849e+09,-3.1989861643e+02,-4.0057658158e+01
7.2087998044e+09,3.1795180973e+02,4.4593585409e+01
7.3089220240e+09,-3.1407118683e+02,-4.8515765749e+01
7.4090442435e+09,3.0886935050e+02,5.0542234182e+01
7.5091664630e+09,-3.0129549354e+02,-5.4282399196e+01
7.6092886825e+09,2.9413500187e+02,5.8409248477e+01
7.7094109020e+09,-2.8924857540e+02,-6.1378266969e+01
7.8095331215e+09,2.8923678721e+02,6.3499215230e+01
7.9096553410e+09,-2.9066607115e+02,-6.6884216950e+01
8.0097775605e+09,2.8922813228e+02,7.3334025750e+01
8.1098997800e+09,-2.8548132756e+02,-7.5167204993e+01
8.2100219995e+09,2.8058683990e+02,7.4712148915e+01
8.3101442190e+09,-2.7908917820e+02,-7.8239348989e+01
8.4102664385e+09,2.7759146245e+02,8.1230716369e+01
8.5103886580e+09,-2.7445265816e+02,-8.1041424462e+01
8.6105108775e+09,2.7339337506e+02,8.2466380860e+01
8.7106330970e+09,-2.7259489387e+02,-8.4786970607e+01
8.8107553165e+09,2.6903747507e+02,8.7149304171e+01
8.9108775361e+09,-2.6349131700e+02,-8.9391931127e+01
9.0109997556e+09,2.5876432130e+02,8.9341306843e+01
9.1111219751e+09,-2.5485552162e+02,-8.7693839438e+01
9.2112441946e+09,2.5049133000e+02,8.4863902735e+01
9.3113664141e+09,-2.4683563273e+02,-8.9581036328e+01
9.4114886336e+09,2.4365263817e+02,9.7101341187e+01
9.5116108531e+09,-2.3755823614e+02,-1.0047841477e+02
9.6117330726e+09,2.3436781200e+02,1.0268649171e+02
9.7118552921e+09,-2.3432046561e+02,-1.0401430709e+02
9.8119775116e+09,2.3261829377e+02,1.0753314737e+02
9.9120997311e+09,-2.3309637187e+02,-1.1015298661e+02
1.0012221951e+10,2.3559346583e+02,1.1391700502e+02
1.0112344170e+10,-2.3521535866e+02,-1.1651869377e+02
1.0212466390e+10,2.3334329128e+02,1.1514316549e+02
1.0312588609e+10,-2.3374894078e+02,-1.1293485127e+02
1.0412710829e+10,2.3028481453e+02,1.1194544223e+02
1.0512833048e+10,-2.2513622542e+02,-1.1546722644e+02
1.0612955268e+10,2.2462334211e+02,1.1687508320e+02
1.0713077487e+10,-2.2647415661e+02,-1.1641991525e+02
1.0813199707e+10,2.2511524064e+02,1.1723323994e+02
1.0913321926e+10,-2.1882583770e+02,-1.1603645668e+02
1.1013444146e+10,2.1461675881e+02,1.1267615135e+02
1.1113566365e+10,-2.1167128224e+02,-1.1207441736e+02
1.1213688585e+10,2.0924624561e+02,1.1753726169e+02
1.1313810804e+10,-2.1008895397e+02,-1.2155577343e+02
1.1413933024e+10,2.1023420913e+02,1.2182110674e+02
1.1514055243e+10,-2.0653684801e+02,-1.2446884269e+02
1.1614177463e+10,2.0613128057e+02,1.2576732118e+02
1.1714299682e+10,-2.0964114467e+02,-1.2212451063e+02
1.1814421902e+10,2.0925590897e+02,1.2022234411e+02
1.1914544121e+10,-2.0741324690e+02,-1.2167649229e+02
1.2014666341e+10,2.0679048565e+02,1.2308080763e+02
1.2114788560e+10,-2.0560315565e+02,-1.2298551321e+02
1.2214910780e+10,2.0260765616e+02,1.2296184295e+02
1.2315032999e+10,-1.9922475650e+02,-1.2309246774e+02
1.2415155219e+10,1.9667121114e+02,1.2211932888e+02
1.2515277438e+10,-1.9608630380e+02,-1.2039597554e+02
1.2615399658e+10,1.9832232627e+02,1.2036456600e+02
1.2715521877e+10,-1.9578881541e+02,-1.2146449258e+02
1.2815644097e+10,1.8881375256e+02,1.1653487137e+02
1.2915766316e+10,-1.8601502741e+02,-1.1347220218e+02
1.3015888536e+10,1.8597108879e+02,1.1549698818e+02
1.3116010755e+10,-1.8511935954e+02,-1.1450683012e+02
1.3216132975e+10,1.8344053238e+02,1.1565295958e+02
1.3316255194e+10,-1.8293885093e+02,-1.1825918646e+02
1.3416377414e+10,1.8299615099e+02,1.1833851088e+02
1.3516499633e+10,-1.8224907411e+02,-1.1642107404e+02
1.3616621853e+10,1.8265058597e+02,1.1479676654e+02
1.3716744072e+10,-1.8479472506e+02,-1.1542142499e+02
1.3816866292e+10,1.8740542010e+02,1.1420003671e+02
1.3916988511e+10,-1.8914112413e+02,-1.1433071950e+02
1.4017110731e+10,1.8484280346e+02,1.1556393834e+02
1.4117232950e+10,-1.8292444507e+02,-1.1180346881e+02
1.4217355170e+10,1.8538067945e+02,1.0423255740e+02
1.4317477389e+10,-1.8090380625e+02,-1.0020575559e+02
1.4417599609e+10,1.7734629827e+02,1.0051173722e+02
1.4517721828e+10,-1.7673516127e+02,-9.9214001010e+01
1.4617844048e+10,1.7430403357e+02,1.0102019438e+02
1.4717966267e+10,-1.7166063518e+02,-1.0497538109e+02
1.4818088487e+10,1.7300541478e+02,1.0473685472e+02
1.4918210706e+10,-1.7571695953e+02,-1.0121480085e+02
1.5018332926e+10,1.7388459187e+02,9.7337994085e+01
1.5118455145e+10,-1.7499796242e+02,-9.4319335172e+01
1.5218577365e+10,1.8005029290e+02,9.3416012982e+01
1.5318699584e+10,-1.7637782294e+02,-9.2968327902e+01
1.5418821804e+10,1.6674332204e+02,9.0845017858e+01
1.5518944023e+10,-1.6619660803e+02,-8.7436108805e+01
1.5619066243e+10,1.6703749785e+02,8.4167379078e+01
1.5719188462e+10,-1.6388298199e+02,-8.2456175949e+01
1.5819310682e+10,1.6393448754e+02,7.8060099506e+01
1.5919432901e+10,-1.6371825943e+02,-7.5904731185e+01
1.6019555121e+10,1.6464616613e+02,7.5838195690e+01
1.6119677341e+10,-1.6682557162e+02,-7.4222872659e+01
1.6219799560e+10,1.6500011753e+02,7.2525739192e+01
1.6319921780e+10,-1.6210730519e+02,-6.8845778887e+01
1.6420043999e+10,1.6410133933e+02,6.7217970889e+01
1.6520166219e+10,-1.6224169709e+02,-6.6777413223e+01
1.6620288438e+10,1.5342074767e+02,6.2966177731e+01
1.6720410658e+10,-1.4976680890e+02,-5.8119322454e+01
1.6820532877e+10,1.5321845885e+02,5.8949075900e+01
1.6920655097e+10,-1.6025944923e+02,-6.0836575954e+01
1.7020777316e+10,1.6322531067e+02,6.1006727169e+01
1.7120899536e+10,-1.6299656621e+02,-6.2990644858e+01
1.7221021755e+10,1.6231643512e+02,5.7671036822e+01
1.7321143975e+10,-1.5866885579e+02,-4.6440439981e+01
1.7421266194e+10,1.5347481685e+02,4.0737591321e+01
1.7521388414e+10,-1.4720047101e+02,-3.4921030334e+01
1.7621510633e+10,1.4520097810e+02,3.0212069381e+01
1.7721632853e+10,-1.4508999058e+02,-3.1234924036e+01
1.7821755072e+10,1.4257125809e+02,2.7381622846e+01
1.7921877292e+10,-1.4026380682e+02,-2.2197472940e+01
1.8021999511e+10,1.4228720133e+02,2.1022568520e+01
1.8122121731e+10,-1.4913195727e+02,-1.9124064794e+01
1.8222243950e+10,1.5296093107e+02,1.7623396224e+01
1.8322366170e+10,-1.5042530593e+02,-1.4743585919e+01
1.8422488389e+10,1.4587714751e+02,1.1523447021e+01
1.8522610609e+10,-1.4065671975e+02,-7.7759280745e+00
1.8622732828e+10,1.3570133170e+02,-9.9470162282e-01
1.8722855048e+10,-1.3237793863e+02,6.9543609867e+00
1.8822977267e+10,1.3076283982e+02,-4.0236243972e+00
1.8923099487e+10,-1.2883508766e+02,-1.4344366666e-01
1.9023221706e+10,1.2009025733e+02,-1.3570521542e+00
1.9123343926e+10,-1.1617602968e+02,4.8338997258e+00
1.9223466145e+10,1.1607510393e+02,-8.4409937628e+00
1.9323588365e+10,-1.1338321668e+02,1.0843066616e+01
1.9423710584e+10,1.1787208514e+02,-1.1758207878e+01
1.9523832804e+10,-1.1722269815e+02,9.2139885374e+00
1.9623955023e+10,1.0986976105e+02,-7.1846167630e+00
1.9724077243e+10,-1.0494219375e+02,1.4966935262e+01
1.9824199462e+10,1.0368316906e+02,-2.1592904798e+01
1.9924321682e+10,-1.0370666333e+02,1.9376743151e+01
2.0024443901e+10,9.9408815902e+01,-1.5297227352e+01
2.0124566121e+10,-9.3841421440e+01,1.4923152325e+01
2.0224688340e+10,9.5209230965e+01,-1.6435206807e+01
2.0324810560e+10,-1.0553030908e+02,1.6948437646e+01
2.0424932779e+10,1.1179293947e+02,-2.0260146189e+01
2.0525054999e+10,-1.1147056377e+02,2.8415321328e+01
2.0625177218e+10,1.1234447567e+02,-3.5517847067e+01
2.0725299438e+10,-1.1388734593e+02,3.6017352174e+01
2.0825421657e+10,1.1010617618e+02,-3.4309906814e+01
2.0925543877e+10,-1.0033760983e+02,3.9356922264e+01
2.1025666096e+10,9.3067979259e+01,-4.9170595907e+01
2.1125788316e+10,-8.6233589124e+01,5.1121519595e+01
2.1225910535e+10,7.7383225826e+01,-5.1276114907e+01
2.1326032755e+10,-7.6904883328e+01,5.4792375433e+01
2.1426154974e+10,7.6996860511e+01,-5.3191135810e+01
2.1526277194e+10,-7.0906961876e+01,5.2982067572e+01
2.1626399413e+10,7.1632933151e+01,-5.4224602779e+01
2.1726521633e+10,-7.2716217291e+01,5.5190110931e+01
2.1826643852e+10,6.8215010861e+01,-5.7685844733e+01
2.1926766072e+10,-6.1808047908e+01,5.8418709150e+01
2.2026888291e+10,5.7160372129e+01,-6.0392232444e+01
2.2127010511e+10,-5.9160342496e+01,6.2573871992e+01
2.2227132730e+10,6.1940968145e+01,-6.3884927040e+01
2.2327254950e+10,-5.6610985897e+01,6.5961782651e+01
2.2427377169e+10,4.7098006445e+01,-6.3509928308e+01
2.2527499389e+10,-4.6513513085e+01,6.1538730104e+01
2.2627621608e+10,4.9537779142e+01,-6.4026302799e+01
