Frequency(GHz),Differential_Magnitude(dB)
0.000000000000000000e+00,5.291550519714429868e+01
1.001222195062332065e-01,5.634986740147945738e+01
2.002444390124664131e-01,5.863199522791630613e+01
3.003666585186995919e-01,5.835682709664003198e+01
4.004888780249328262e-01,5.812307580490123371e+01
5.006110975311660605e-01,5.787538264012886202e+01
6.007333170373991837e-01,5.764356736620362653e+01
7.008555365436324180e-01,5.742671634938764669e+01
8.009777560498656523e-01,5.720724564880059404e+01
9.010999755560987756e-01,5.705975180923255152e+01
1.001222195062332121e+00,5.695552444845451134e+01
1.101344414568565133e+00,5.684649417359501911e+01
1.201466634074798367e+00,5.675400707215824525e+01
1.301588853581031602e+00,5.662620212220925708e+01
1.401711073087264836e+00,5.648229454546143558e+01
1.501833292593498070e+00,5.636529097341323791e+01
1.601955512099731305e+00,5.621985175610036123e+01
1.702077731605964317e+00,5.609068395897938331e+01
1.802199951112197551e+00,5.598510124998961146e+01
1.902322170618430786e+00,5.584273605865299572e+01
2.002444390124664242e+00,5.572444818898793528e+01
2.102566609630897254e+00,5.559854402628435821e+01
2.202688829137130266e+00,5.543175745487631900e+01
2.302811048643363279e+00,5.530177317008815407e+01
2.402933268149596735e+00,5.513578313286051014e+01
2.503055487655829747e+00,5.493830123376022101e+01
2.603177707162063204e+00,5.482598517343877376e+01
2.703299926668296216e+00,5.473074598464951634e+01
2.803422146174529672e+00,5.464650047153307355e+01
2.903544365680762684e+00,5.458149292945683584e+01
3.003666585186996141e+00,5.446374725588017895e+01
3.103788804693229153e+00,5.436603459502691749e+01
3.203911024199462609e+00,5.429052430793603889e+01
3.304033243705695622e+00,5.417499623351331195e+01
3.404155463211928634e+00,5.406666035007810223e+01
3.504277682718162090e+00,5.395570373560016719e+01
3.604399902224395102e+00,5.384263972085249605e+01
3.704522121730628559e+00,5.376746658537741297e+01
3.804644341236861571e+00,5.362883751168767787e+01
3.904766560743095027e+00,5.343139115531922556e+01
4.004888780249328484e+00,5.329528898586467989e+01
4.105010999755561052e+00,5.310671786976428166e+01
4.205133219261794508e+00,5.290048608641001238e+01
4.305255438768027076e+00,5.279636698859693666e+01
4.405377658274260533e+00,5.270165593000974269e+01
4.505499877780493989e+00,5.265951936992725280e+01
4.605622097286726557e+00,5.264056523933280829e+01
4.705744316792960014e+00,5.254939914743258100e+01
4.805866536299193470e+00,5.246243866409106005e+01
4.905988755805426926e+00,5.235130799561555648e+01
5.006110975311659494e+00,5.218641964770176855e+01
5.106233194817892951e+00,5.206046165288576333e+01
5.206355414324126407e+00,5.193730934083056638e+01
5.306477633830359864e+00,5.178345870791697791e+01
5.406599853336592432e+00,5.168372104985152049e+01
5.506722072842825888e+00,5.161250590081826317e+01
5.606844292349059344e+00,5.149010613083555654e+01
5.706966511855291913e+00,5.133780012666142056e+01
5.807088731361525369e+00,5.119368293502063239e+01
5.907210950867758825e+00,5.107295737807970681e+01
6.007333170373992282e+00,5.095709264899204527e+01
6.107455389880224850e+00,5.083327831763784843e+01
6.207577609386458306e+00,5.078317736050639297e+01
6.307699828892691762e+00,5.075980685019920458e+01
6.407822048398925219e+00,5.068136878238370713e+01
6.507944267905157787e+00,5.061212673234827264e+01
6.608066487411391243e+00,5.056131374642817633e+01
6.708188706917624700e+00,5.050451574490438844e+01
6.808310926423857268e+00,5.043055351217483917e+01
6.908433145930090724e+00,5.032546338515574291e+01
7.008555365436324180e+00,5.021317466473415436e+01
7.108677584942557637e+00,5.017717247191639274e+01
7.208799804448790205e+00,5.014205137242511512e+01
7.308922023955023661e+00,5.005500182115088137e+01
7.409044243461257118e+00,4.992416838626853348e+01
7.509166462967490574e+00,4.973599362692770853e+01
7.609288682473723142e+00,4.955729810199896690e+01
7.709410901979956598e+00,4.943539164602434965e+01
7.809533121486190055e+00,4.944988332553603527e+01
7.909655340992422623e+00,4.950846970218327669e+01
8.009777560498656968e+00,4.950980110126422318e+01
8.109899780004889536e+00,4.941787061213715759e+01
8.210021999511122104e+00,4.927188275321637434e+01
8.310144219017356448e+00,4.925413725947458943e+01
8.410266438523589017e+00,4.923932304319041009e+01
8.510388658029821585e+00,4.914862978764016077e+01
8.610510877536054153e+00,4.912949132293678645e+01
8.710633097042288497e+00,4.912363996570528002e+01
8.810755316548521066e+00,4.904411955334236950e+01
8.910877536054753634e+00,4.890891184885222742e+01
9.010999755560987978e+00,4.876976691583135448e+01
9.111121975067220546e+00,4.863173290284019856e+01
9.211244194573453115e+00,4.846198424954838657e+01
9.311366414079687459e+00,4.839688334234796940e+01
9.411488633585920027e+00,4.839232520675544436e+01
9.511610853092154372e+00,4.825064294053738223e+01
9.611733072598386940e+00,4.818014204088029118e+01
9.711855292104619508e+00,4.819878138063166517e+01
9.811977511610853853e+00,4.819319419058138010e+01
9.912099731117086421e+00,4.824026933597654221e+01
1.001222195062331899e+01,4.837068387635036260e+01
1.011234417012955333e+01,4.840117674263240843e+01
1.021246638963578590e+01,4.832520363879069691e+01
1.031258860914201847e+01,4.830212112384587186e+01
1.041271082864825281e+01,4.818193901978115434e+01
1.051283304815448538e+01,4.808469982346484528e+01
1.061295526766071973e+01,4.809883651141976202e+01
1.071307748716695230e+01,4.814620918422036766e+01
1.081319970667318486e+01,4.811119604884447654e+01
1.091332192617941921e+01,4.790790098864901836e+01
1.101344414568565178e+01,4.772520568558510945e+01
1.111356636519188434e+01,4.762229902107332435e+01
1.121368858469811869e+01,4.764570580611780315e+01
1.131381080420435126e+01,4.774656514242042959e+01
1.141393302371058383e+01,4.776429256838581949e+01
1.151405524321681817e+01,4.770170612100662311e+01
1.161417746272305074e+01,4.769371489582933066e+01
1.171429968222928508e+01,4.772837597092843964e+01
1.181442190173551765e+01,4.768477850804266893e+01
1.191454412124175022e+01,4.764498152752112503e+01
1.201466634074798456e+01,4.765091538397690840e+01
1.211478856025421713e+01,4.761605781927404735e+01
1.221491077976044970e+01,4.752390950886083942e+01
1.231503299926668404e+01,4.741982664428961414e+01
1.241515521877291661e+01,4.732105126756120939e+01
1.251527743827914918e+01,4.727419678110307188e+01
1.261539965778538352e+01,4.734789363506283166e+01
1.271552187729161609e+01,4.729048393027526487e+01
1.281564409679785044e+01,4.696732068136479654e+01
1.291576631630408301e+01,4.681602115754823501e+01
1.301588853581031557e+01,4.686340469767274897e+01
1.311601075531654992e+01,4.681171684452990434e+01
1.321613297482278249e+01,4.677962079022749720e+01
1.331625519432901505e+01,4.681802311521566651e+01
1.341637741383524940e+01,4.681183073717705412e+01
1.351649963334148197e+01,4.673932940322872298e+01
1.361662185284771454e+01,4.671459805598956194e+01
1.371674407235394888e+01,4.680249633895380157e+01
1.381686629186018145e+01,4.686769059813178728e+01
1.391698851136641579e+01,4.693001549583527066e+01
1.401711073087264836e+01,4.682427864673154261e+01
1.411723295037888093e+01,4.669249608680062380e+01
1.421735516988511527e+01,4.663107144188968789e+01
1.431747738939134784e+01,4.639131704079275664e+01
1.441759960889758041e+01,4.624519444242199029e+01
1.451772182840381475e+01,4.618478847208663041e+01
1.461784404791004732e+01,4.614764793593508330e+01
1.471796626741627989e+01,4.614054691047478229e+01
1.481808848692251424e+01,4.617249666633628635e+01
1.491821070642874680e+01,4.620854753960400529e+01
1.501833292593498115e+01,4.606925141758403441e+01
1.511845514544121372e+01,4.602803938214312041e+01
1.521857736494744628e+01,4.620434739896901988e+01
1.531869958445368063e+01,4.606610926378714055e+01
1.541882180395991320e+01,4.564935549357706179e+01
1.551894402346614577e+01,4.554473046877451736e+01
1.561906624297238011e+01,4.551747254043965540e+01
1.571918846247861268e+01,4.539352215247902933e+01
1.581931068198484525e+01,4.532316815515383013e+01
1.591943290149107959e+01,4.525179462802466901e+01
1.601955512099731394e+01,4.526553396890975733e+01
1.611967734050354650e+01,4.530811018361666243e+01
1.621979956000977907e+01,4.516937310195024224e+01
1.631992177951601164e+01,4.496399551234328840e+01
1.642004399902224421e+01,4.505227149193960656e+01
1.652016621852848033e+01,4.496263606061382490e+01
1.662028843803471290e+01,4.447805889176262184e+01
1.672041065754094546e+01,4.419809276952877042e+01
1.682053287704717803e+01,4.438563711066837669e+01
1.692065509655341060e+01,4.476857517584053880e+01
1.702077731605964317e+01,4.492098761277880925e+01
1.712089953556587929e+01,4.492111317462547504e+01
1.722102175507210831e+01,4.480013080528784286e+01
1.732114397457834087e+01,4.446449869911006658e+01
1.742126619408457699e+01,4.415146585594669659e+01
1.752138841359080956e+01,4.373538838601206180e+01
1.762151063309704213e+01,4.357372141839685753e+01
1.772163285260327470e+01,4.362635549038922989e+01
1.782175507210950727e+01,4.338409157897793733e+01
1.792187729161574339e+01,4.317158814017638235e+01
1.802199951112197596e+01,4.322891694536730256e+01
1.812212173062820852e+01,4.358069942021209187e+01
1.822224395013444109e+01,4.380560276772846606e+01
1.832236616964067366e+01,4.368071902327238831e+01
1.842248838914690623e+01,4.341256964761945625e+01
1.852261060865314235e+01,4.314878540068978197e+01
1.862273282815937492e+01,4.286799766371261455e+01
1.872285504766560749e+01,4.263130620274326077e+01
1.882297726717184005e+01,4.247179243148129046e+01
1.892309948667807262e+01,4.232425543931965706e+01
1.902322170618430874e+01,4.174815475521676689e+01
1.912334392569054131e+01,4.144419371809847519e+01
1.922346614519677388e+01,4.147177318463094053e+01
1.932358836470300645e+01,4.134271120084826379e+01
1.942371058420923902e+01,4.168885114360901412e+01
1.952383280371547158e+01,4.151804389597928946e+01
1.962395502322170771e+01,4.087767341232141405e+01
1.972407724272794027e+01,4.059660000705078886e+01
1.982419946223417284e+01,4.076801627453829013e+01
1.992432168174040541e+01,4.073606591012609357e+01
2.002444390124663798e+01,4.017790030080158203e+01
2.012456612075287410e+01,3.974196890758818768e+01
2.022468834025910667e+01,3.996326656557339163e+01
2.032481055976533924e+01,4.086798755024125995e+01
2.042493277927157180e+01,4.137025594951455787e+01
2.052505499877780437e+01,4.143854490985316374e+01
2.062517721828403694e+01,4.156011067679396831e+01
2.072529943779027306e+01,4.168298055289148607e+01
2.082542165729650563e+01,4.145457449263787453e+01
2.092554387680273820e+01,4.089376876778771930e+01
2.102566609630897076e+01,4.066809851362074113e+01
2.112578831581520333e+01,4.021394037709177383e+01
2.122591053532143945e+01,3.951328428817384975e+01
2.132603275482767202e+01,3.965653450149288517e+01
2.142615497433390459e+01,3.961333412754067496e+01
2.152627719384013716e+01,3.922764431061521861e+01
2.162639941334636973e+01,3.935990962280756378e+01
2.172652163285260229e+01,3.944896187050210301e+01
2.182664385235883842e+01,3.921717889066878371e+01
2.192676607186507098e+01,3.883653218123508566e+01
2.202688829137130355e+01,3.866583333672946310e+01
2.212701051087753612e+01,3.901583406400073528e+01
2.222713273038376869e+01,3.924527369402943577e+01
2.232725494989000481e+01,3.903476630780019718e+01
2.242737716939623738e+01,3.854821649045303644e+01
2.252749938890246995e+01,3.843862072199833335e+01
2.262762160840870251e+01,3.860875732899687307e+01
2.272774382791493508e+01,3.847295247656920480e+01
2.282786604742116765e+01,3.806452495315699025e+01
2.292798826692740377e+01,3.710956770182563957e+01
2.302811048643363634e+01,3.668779010554086994e+01
2.312823270593986891e+01,3.700801981395699869e+01
2.322835492544610148e+01,3.682526911351151000e+01
2.332847714495233404e+01,3.648862123635944243e+01
2.342859936445857016e+01,3.687797402869101404e+01
2.352872158396480273e+01,3.740399072456150975e+01
2.362884380347103530e+01,3.731486804278753056e+01
2.372896602297726787e+01,3.689103262591841315e+01
2.382908824248350044e+01,3.694310163633502242e+01
2.392921046198973301e+01,3.806205835446556307e+01
2.402933268149596913e+01,3.844693222419434164e+01
2.412945490100220169e+01,3.804362187577585530e+01
2.422957712050843426e+01,3.750339109105142654e+01
2.432969934001466683e+01,3.706932326247222420e+01
2.442982155952089940e+01,3.657659913704337384e+01
2.452994377902713552e+01,3.690398738632112696e+01
2.463006599853336809e+01,3.742714625102550485e+01
2.473018821803960066e+01,3.700185534172315016e+01
2.483031043754583322e+01,3.663486381413060400e+01
2.493043265705206579e+01,3.635390171837764939e+01
2.503055487655829836e+01,3.607834123942113536e+01
2.513067709606453448e+01,3.583594980126236607e+01
2.523079931557076705e+01,3.578910245441092286e+01
2.533092153507699962e+01,3.604673224011663279e+01
2.543104375458323219e+01,3.578387473583741496e+01
2.553116597408946475e+01,3.523408673157074134e+01
2.563128819359570087e+01,3.549117404331315129e+01
2.573141041310193344e+01,3.564978274154310611e+01
2.583153263260816601e+01,3.504943864637771611e+01
2.593165485211439858e+01,3.437110128824711097e+01
2.603177707162063115e+01,3.354245462742380823e+01
2.613189929112686372e+01,3.218035334639837686e+01
2.623202151063309984e+01,3.425184684933451962e+01
2.633214373013933240e+01,3.493894960852972531e+01
2.643226594964556497e+01,3.412239338480639361e+01
2.653238816915179754e+01,3.436632673264812610e+01
2.663251038865803011e+01,3.575656582298775277e+01
2.673263260816426623e+01,3.564146297092379712e+01
2.683275482767049880e+01,3.394020360233441380e+01
2.693287704717673137e+01,3.413743428119447998e+01
2.703299926668296393e+01,3.380902122776308261e+01
2.713312148618919650e+01,3.318351313497552724e+01
2.723324370569542907e+01,3.395233188937599067e+01
2.733336592520166519e+01,3.460470275686979846e+01
2.743348814470789776e+01,3.344723020395453261e+01
2.753361036421413033e+01,3.269174041234989403e+01
2.763373258372036290e+01,3.387560134689732649e+01
2.773385480322659546e+01,3.444620396885863300e+01
2.783397702273283159e+01,3.276047949312736307e+01
2.793409924223906415e+01,3.240514372906007168e+01
2.803422146174529672e+01,3.284267593373219540e+01
2.813434368125152929e+01,3.247516620892910311e+01
2.823446590075776186e+01,3.225147768714812457e+01
2.833458812026399443e+01,3.174312321151372274e+01
2.843471033977023055e+01,3.100451517926858713e+01
2.853483255927646312e+01,3.216878197534349226e+01
2.863495477878269568e+01,3.394745152270934341e+01
2.873507699828892825e+01,3.364256057324488580e+01
2.883519921779516082e+01,3.265004755747794718e+01
2.893532143730139694e+01,3.370904256060721593e+01
2.903544365680762951e+01,3.298037628235819341e+01
2.913556587631386208e+01,3.214973097975396144e+01
2.923568809582009465e+01,3.164313685348022176e+01
2.933581031532632721e+01,2.946523347349550903e+01
2.943593253483255978e+01,2.906835729846653038e+01
2.953605475433879590e+01,3.028126791238685911e+01
2.963617697384502847e+01,2.949876954211471514e+01
2.973629919335126104e+01,3.049421719581512846e+01
2.983642141285749361e+01,3.130960705004147826e+01
2.993654363236372618e+01,3.193962655450850008e+01
3.003666585186996230e+01,3.013092765276038776e+01
