Time(us),Differential_Amplitude
0.000000000000000000e+00,1.335999999999999943e+02
1.220703125000000025e-06,-4.211999999999999886e+02
2.441406250000000051e-06,-4.156000000000000227e+02
3.662109375000000288e-06,3.396999999999999886e+02
4.882812500000000102e-06,-1.190000000000000036e+01
6.103515624999999492e-06,3.081000000000000227e+02
7.324218750000000576e-06,1.889000000000000057e+02
8.544921875000000813e-06,-1.094599999999999909e+03
9.765625000000000203e-06,-1.594000000000000057e+02
1.098632812499999959e-05,8.109999999999999432e+01
1.220703124999999898e-05,4.396999999999999886e+02
1.342773437500000007e-05,3.546000000000000227e+02
1.464843750000000115e-05,1.513000000000000114e+02
1.586914062500000054e-05,-4.256999999999999886e+02
1.708984375000000163e-05,2.183000000000000114e+02
1.831054687499999932e-05,3.658000000000000114e+02
1.953125000000000041e-05,1.151799999999999955e+03
2.075195312500000149e-05,2.266999999999999886e+02
2.197265624999999919e-05,3.158000000000000114e+02
2.319335937500000027e-05,3.653000000000000114e+02
2.441406249999999797e-05,-4.270000000000000284e+01
2.563476562499999905e-05,-2.050000000000000000e+02
2.685546875000000014e-05,-2.758000000000000114e+02
2.807617187499999783e-05,-1.690999999999999943e+02
2.929687500000000230e-05,-1.101400000000000091e+03
3.051757812500000000e-05,-1.594000000000000057e+02
3.173828125000000108e-05,-4.163000000000000114e+02
3.295898437500000217e-05,4.533999999999999773e+02
3.417968750000000325e-05,-1.017000000000000028e+02
3.540039062500000434e-05,-4.603999999999999773e+02
3.662109374999999864e-05,-6.706000000000000227e+02
3.784179687499999973e-05,3.198000000000000114e+02
3.906250000000000081e-05,4.076999999999999886e+02
4.028320312500000190e-05,3.338999999999999773e+02
4.150390625000000298e-05,6.978999999999999773e+02
4.272460937499999729e-05,1.323000000000000114e+02
4.394531249999999837e-05,2.161999999999999886e+02
4.516601562499999946e-05,-4.778999999999999773e+02
4.638671875000000054e-05,8.172000000000000455e+02
4.760742187500000163e-05,2.405999999999999943e+02
4.882812499999999593e-05,4.200000000000000000e+01
5.004882812499999702e-05,8.309999999999999432e+01
5.126953124999999810e-05,-5.818999999999999773e+02
5.249023437499999919e-05,-3.066000000000000227e+02
5.371093750000000027e-05,-3.128000000000000114e+02
5.493164062500000136e-05,-2.413000000000000114e+02
5.615234374999999566e-05,-7.792000000000000455e+02
5.737304687499999675e-05,4.563000000000000114e+02
5.859375000000000461e-05,-1.189900000000000091e+03
5.981445312499999892e-05,-1.496999999999999886e+02
6.103515625000000000e-05,4.498000000000000114e+02
6.225585937500000108e-05,3.700000000000000178e+00
6.347656250000000217e-05,-9.379999999999999716e+01
6.469726562500000325e-05,-7.759999999999999432e+01
6.591796875000000434e-05,7.821000000000000227e+02
6.713867187500000542e-05,-1.449000000000000057e+02
6.835937500000000651e-05,-1.439000000000000057e+02
6.958007812500000759e-05,-1.441999999999999886e+02
7.080078125000000867e-05,2.651000000000000227e+02
7.202148437499999621e-05,-9.357000000000000455e+02
7.324218749999999729e-05,2.370999999999999943e+02
7.446289062499999837e-05,2.989999999999999858e+01
7.568359374999999946e-05,6.565000000000000000e+02
7.690429687500000054e-05,2.775000000000000000e+02
7.812500000000000163e-05,-6.427999999999999545e+02
7.934570312500000271e-05,6.750000000000000000e+01
8.056640625000000379e-05,-2.425000000000000000e+02
8.178710937500000488e-05,-4.295000000000000000e+02
8.300781250000000596e-05,5.800000000000000000e+01
8.422851562500000705e-05,8.346000000000000227e+02
8.544921874999999458e-05,9.329999999999999716e+01
8.666992187499999566e-05,-2.090000000000000000e+02
8.789062499999999675e-05,-7.570000000000000000e+02
8.911132812499999783e-05,6.820000000000000284e+01
9.033203124999999892e-05,6.479999999999999716e+01
9.155273437500000000e-05,-2.838999999999999773e+02
9.277343750000000108e-05,1.125299999999999955e+03
9.399414062500000217e-05,8.109999999999999432e+01
9.521484375000000325e-05,-8.513999999999999773e+02
9.643554687500000434e-05,-4.076000000000000227e+02
9.765624999999999187e-05,-6.870000000000000000e+02
9.887695312499999295e-05,-3.203000000000000114e+02
1.000976562499999940e-04,4.451000000000000227e+02
1.013183593749999951e-04,-1.009999999999999964e+01
1.025390624999999962e-04,6.965000000000000000e+02
1.037597656249999973e-04,6.017999999999999545e+02
1.049804687499999984e-04,9.609999999999999432e+01
1.062011718749999995e-04,7.215000000000000000e+02
1.074218750000000005e-04,1.301900000000000091e+03
1.086425781250000016e-04,4.210000000000000142e+01
1.098632812500000027e-04,7.782999999999999545e+02
1.110839843749999902e-04,4.056000000000000227e+02
1.123046874999999913e-04,9.300000000000000711e+00
1.135253906249999924e-04,2.063000000000000114e+02
