Frequency(GHz),Magnitude(dB)
0.000000000000000000e+00,7.373633596740761220e+01
1.000000000000000056e-01,1.013333221479699091e+02
2.000000000000000111e-01,9.756678322562420647e+01
2.999999999999999889e-01,9.109788767904204576e+01
4.000000000000000222e-01,8.900165518887989435e+01
5.000000000000000000e-01,8.619026799640145953e+01
5.999999999999999778e-01,8.466097494486530195e+01
6.999999999999999556e-01,8.281830839199872685e+01
8.000000000000000444e-01,8.160909892016029232e+01
9.000000000000000222e-01,8.026179141132828931e+01
1.000000000000000000e+00,7.935811393559545479e+01
1.100000000000000089e+00,7.830991348190212875e+01
1.199999999999999956e+00,7.754194794273362845e+01
1.300000000000000044e+00,7.664491638689091246e+01
1.399999999999999911e+00,7.591612413172589413e+01
1.500000000000000000e+00,7.514079758397484454e+01
1.600000000000000089e+00,7.448555712957960395e+01
1.699999999999999956e+00,7.377988970331394114e+01
1.800000000000000044e+00,7.321891481571040572e+01
1.899999999999999911e+00,7.257098276166136941e+01
2.000000000000000000e+00,7.203728999301604574e+01
2.100000000000000089e+00,7.146040034973886179e+01
2.200000000000000178e+00,7.091761917305953489e+01
2.299999999999999822e+00,7.037327930962322853e+01
2.399999999999999911e+00,6.986762423457531668e+01
2.500000000000000000e+00,6.929032712116497805e+01
2.600000000000000089e+00,6.885537231017990223e+01
2.700000000000000178e+00,6.841440634437137192e+01
2.799999999999999822e+00,6.803127907335182556e+01
2.899999999999999911e+00,6.764610410399298246e+01
3.000000000000000000e+00,6.725423395050522402e+01
3.100000000000000089e+00,6.685299984148967667e+01
3.200000000000000178e+00,6.651988325456431994e+01
3.299999999999999822e+00,6.612522424313623048e+01
3.399999999999999911e+00,6.577125966011338676e+01
3.500000000000000000e+00,6.539824375330384498e+01
3.600000000000000089e+00,6.505260871782877530e+01
3.700000000000000178e+00,6.472795163650872041e+01
3.799999999999999822e+00,6.437796294598011571e+01
3.899999999999999911e+00,6.394379351012794643e+01
4.000000000000000000e+00,6.359754970974381649e+01
4.099999999999999645e+00,6.319285236629664126e+01
4.200000000000000178e+00,6.278358043043544967e+01
4.299999999999999822e+00,6.246291029155870689e+01
4.400000000000000355e+00,6.218036688643428533e+01
4.500000000000000000e+00,6.192958247206242106e+01
4.599999999999999645e+00,6.173427732350429409e+01
4.700000000000000178e+00,6.145298377386902189e+01
4.799999999999999822e+00,6.119153779648535618e+01
4.900000000000000355e+00,6.090052150190167168e+01
5.000000000000000000e+00,6.057074179875946385e+01
5.099999999999999645e+00,6.026346997619428691e+01
5.200000000000000178e+00,5.998459131242444897e+01
5.299999999999999822e+00,5.965980603478769950e+01
5.400000000000000355e+00,5.940162629311004139e+01
5.500000000000000000e+00,5.916817696803286708e+01
5.599999999999999645e+00,5.890282589854124495e+01
5.700000000000000178e+00,5.859308345063575274e+01
5.799999999999999822e+00,5.830568212335670353e+01
5.900000000000000355e+00,5.803063407533479534e+01
6.000000000000000000e+00,5.777910506125310519e+01
6.099999999999999645e+00,5.750630954801489736e+01
6.200000000000000178e+00,5.731586240079530370e+01
6.299999999999999822e+00,5.715390592204614251e+01
6.400000000000000355e+00,5.695000718228807557e+01
6.500000000000000000e+00,5.674059927660642444e+01
6.599999999999999645e+00,5.656515259424946862e+01
6.700000000000000178e+00,5.637635043957745040e+01
6.799999999999999822e+00,5.618379567482989501e+01
6.900000000000000355e+00,5.595321766588607915e+01
7.000000000000000000e+00,5.572059792856919813e+01
