Time(us),Amplitude
0.000000000000000000e+00,2.096120000000000073e+04
1.220703125000000025e-06,2.124100000000000000e+04
2.441406250000000051e-06,2.159440000000000146e+04
3.662109375000000288e-06,2.124959999999999854e+04
4.882812500000000102e-06,2.135200000000000000e+04
6.103515624999999492e-06,2.081559999999999854e+04
7.324218750000000576e-06,2.053920000000000073e+04
8.544921875000000813e-06,2.192109999999999854e+04
9.765625000000000203e-06,2.112609999999999854e+04
1.098632812499999959e-05,2.144609999999999854e+04
1.220703124999999898e-05,2.109479999999999927e+04
1.342773437500000007e-05,2.081979999999999927e+04
1.464843750000000115e-05,2.117879999999999927e+04
1.586914062500000054e-05,2.158929999999999927e+04
1.708984375000000163e-05,2.134009999999999854e+04
1.831054687499999932e-05,2.112370000000000073e+04
1.953125000000000041e-05,2.072809999999999854e+04
2.075195312500000149e-05,2.082650000000000000e+04
2.197265624999999919e-05,2.096670000000000073e+04
2.319335937500000027e-05,2.152720000000000073e+04
2.441406249999999797e-05,2.153450000000000000e+04
2.563476562499999905e-05,2.117440000000000146e+04
2.685546875000000014e-05,2.133009999999999854e+04
2.807617187499999783e-05,2.116359999999999854e+04
2.929687500000000230e-05,2.155840000000000146e+04
3.051757812500000000e-05,2.148950000000000000e+04
3.173828125000000108e-05,2.187990000000000146e+04
3.295898437500000217e-05,2.105320000000000073e+04
3.417968750000000325e-05,2.128250000000000000e+04
3.540039062500000434e-05,2.189250000000000000e+04
3.662109374999999864e-05,2.149179999999999927e+04
3.784179687499999973e-05,2.096940000000000146e+04
3.906250000000000081e-05,2.105429999999999927e+04
4.028320312500000190e-05,2.099450000000000000e+04
4.150390625000000298e-05,2.045700000000000000e+04
4.272460937499999729e-05,2.133009999999999854e+04
4.394531249999999837e-05,2.146359999999999854e+04
4.516601562499999946e-05,2.150659999999999854e+04
4.638671875000000054e-05,2.118079999999999927e+04
4.760742187500000163e-05,2.143209999999999854e+04
4.882812499999999593e-05,2.082120000000000073e+04
5.004882812499999702e-05,2.128920000000000073e+04
5.126953124999999810e-05,2.146200000000000000e+04
5.249023437499999919e-05,2.132840000000000146e+04
5.371093750000000027e-05,2.115490000000000146e+04
5.493164062500000136e-05,2.146240000000000146e+04
5.615234374999999566e-05,2.167979999999999927e+04
5.737304687499999675e-05,2.102870000000000073e+04
5.859375000000000461e-05,2.199800000000000000e+04
5.981445312499999892e-05,2.167270000000000073e+04
6.103515625000000000e-05,2.086320000000000073e+04
6.225585937500000108e-05,2.137229999999999927e+04
6.347656250000000217e-05,2.088009999999999854e+04
6.469726562500000325e-05,2.102179999999999927e+04
6.591796875000000434e-05,2.084209999999999854e+04
6.713867187500000542e-05,2.122109999999999854e+04
6.835937500000000651e-05,2.090059999999999854e+04
6.958007812500000759e-05,2.148500000000000000e+04
7.080078125000000867e-05,2.080809999999999854e+04
7.202148437499999621e-05,2.152300000000000000e+04
7.324218749999999729e-05,2.131300000000000000e+04
7.446289062499999837e-05,2.137600000000000000e+04
7.568359374999999946e-05,2.078629999999999927e+04
7.690429687500000054e-05,2.094420000000000073e+04
7.812500000000000163e-05,2.162420000000000073e+04
7.934570312500000271e-05,2.107620000000000073e+04
8.056640625000000379e-05,2.075670000000000073e+04
8.178710937500000488e-05,2.134079999999999927e+04
8.300781250000000596e-05,2.107320000000000073e+04
8.422851562500000705e-05,2.058729999999999927e+04
8.544921874999999458e-05,2.155009999999999854e+04
8.666992187499999566e-05,2.140590000000000146e+04
8.789062499999999675e-05,2.144279999999999927e+04
8.911132812499999783e-05,2.122170000000000073e+04
9.033203124999999892e-05,2.098140000000000146e+04
9.155273437500000000e-05,2.114370000000000073e+04
9.277343750000000108e-05,2.051420000000000073e+04
9.399414062500000217e-05,2.091129999999999927e+04
9.521484375000000325e-05,2.113120000000000073e+04
9.643554687500000434e-05,2.142190000000000146e+04
9.765624999999999187e-05,2.164340000000000146e+04
9.887695312499999295e-05,2.119690000000000146e+04
1.000976562499999940e-04,2.068579999999999927e+04
1.013183593749999951e-04,2.128990000000000146e+04
1.025390624999999962e-04,2.104620000000000073e+04
1.037597656249999973e-04,2.085979999999999927e+04
1.049804687499999984e-04,2.163950000000000000e+04
1.062011718749999995e-04,2.099240000000000146e+04
1.074218750000000005e-04,2.027979999999999927e+04
1.086425781250000016e-04,2.101429999999999927e+04
1.098632812500000027e-04,2.095640000000000146e+04
1.110839843749999902e-04,2.087659999999999854e+04
1.123046874999999913e-04,2.113090000000000146e+04
1.135253906249999924e-04,2.127979999999999927e+04
1.147460937499999935e-04,2.174270000000000073e+04
1.159667968749999946e-04,2.146159999999999854e+04
1.171875000000000092e-04,2.173559999999999854e+04
1.184082031250000103e-04,2.171390000000000146e+04
1.196289062499999978e-04,2.158170000000000073e+04
1.208496093750000125e-04,2.105640000000000146e+04
1.220703125000000000e-04,2.173470000000000073e+04
1.232910156250000011e-04,2.128220000000000073e+04
1.245117187500000022e-04,2.114020000000000073e+04
1.257324218750000033e-04,2.148609999999999854e+04
1.269531250000000043e-04,2.106029999999999927e+04
1.281738281250000054e-04,2.101520000000000073e+04
1.293945312500000065e-04,2.179509999999999854e+04
1.306152343749999805e-04,2.204359999999999854e+04
1.318359375000000087e-04,2.133729999999999927e+04
1.330566406249999827e-04,2.163159999999999854e+04
1.342773437500000108e-04,2.082259999999999854e+04
1.354980468749999848e-04,2.104570000000000073e+04
1.367187500000000130e-04,2.130829999999999927e+04
1.379394531249999870e-04,2.126079999999999927e+04
1.391601562500000152e-04,2.151850000000000000e+04
1.403808593749999892e-04,2.122890000000000146e+04
1.416015625000000173e-04,2.085409999999999854e+04
1.428222656249999913e-04,2.098120000000000073e+04
1.440429687499999924e-04,2.137790000000000146e+04
1.452636718749999935e-04,2.115959999999999854e+04
1.464843749999999946e-04,2.141479999999999927e+04
1.477050781249999957e-04,2.163590000000000146e+04
1.489257812499999967e-04,2.148950000000000000e+04
1.501464843749999978e-04,2.142540000000000146e+04
1.513671874999999989e-04,2.125179999999999927e+04
1.525878906250000000e-04,2.177529999999999927e+04
1.538085937500000011e-04,2.162570000000000073e+04
1.550292968750000022e-04,2.119550000000000000e+04
1.562500000000000033e-04,2.112629999999999927e+04
1.574707031250000043e-04,2.123229999999999927e+04
1.586914062500000054e-04,2.116850000000000000e+04
1.599121093750000065e-04,2.134640000000000146e+04
1.611328125000000076e-04,2.114859999999999854e+04
1.623535156250000087e-04,2.082900000000000000e+04
1.635742187500000098e-04,2.124570000000000073e+04
1.647949218750000108e-04,2.073609999999999854e+04
1.660156250000000119e-04,2.055890000000000146e+04
1.672363281250000130e-04,2.130740000000000146e+04
1.684570312500000141e-04,2.118379999999999927e+04
1.696777343750000152e-04,2.104370000000000073e+04
1.708984374999999892e-04,2.092740000000000146e+04
1.721191406250000173e-04,2.055409999999999854e+04
1.733398437499999913e-04,2.087379999999999927e+04
1.745605468750000195e-04,2.154709999999999854e+04
1.757812499999999935e-04,2.081690000000000146e+04
1.770019531250000217e-04,2.100729999999999927e+04
1.782226562499999957e-04,2.080350000000000000e+04
1.794433593750000239e-04,2.047820000000000073e+04
1.806640624999999978e-04,2.090450000000000000e+04
1.818847656250000260e-04,2.076020000000000073e+04
1.831054687500000000e-04,2.082870000000000073e+04
1.843261718750000011e-04,2.112609999999999854e+04
1.855468750000000022e-04,2.024790000000000146e+04
1.867675781250000033e-04,2.102800000000000000e+04
1.879882812500000043e-04,2.111870000000000073e+04
1.892089843750000054e-04,2.163990000000000146e+04
1.904296875000000065e-04,2.175240000000000146e+04
1.916503906250000076e-04,2.149090000000000146e+04
1.928710937500000087e-04,2.057300000000000000e+04
1.940917968750000098e-04,2.051179999999999927e+04
1.953124999999999837e-04,2.092840000000000146e+04
1.965332031250000119e-04,2.117350000000000000e+04
1.977539062499999859e-04,2.060900000000000000e+04
1.989746093750000141e-04,2.131340000000000146e+04
2.001953124999999881e-04,2.114159999999999854e+04
2.014160156250000163e-04,2.136029999999999927e+04
2.026367187499999902e-04,2.109979999999999927e+04
2.038574218750000184e-04,2.186920000000000073e+04
2.050781249999999924e-04,2.088520000000000073e+04
2.062988281250000206e-04,2.116190000000000146e+04
2.075195312499999946e-04,2.118859999999999854e+04
2.087402343749999957e-04,2.169550000000000000e+04
2.099609374999999967e-04,2.086640000000000146e+04
2.111816406249999978e-04,2.066890000000000146e+04
2.124023437499999989e-04,2.106529999999999927e+04
2.136230468750000000e-04,2.092290000000000146e+04
2.148437500000000011e-04,2.152179999999999927e+04
2.160644531250000022e-04,2.113550000000000000e+04
2.172851562500000033e-04,2.107200000000000000e+04
2.185058593750000043e-04,2.070990000000000146e+04
2.197265625000000054e-04,2.117059999999999854e+04
2.209472656250000065e-04,2.158629999999999927e+04
2.221679687499999805e-04,2.169900000000000000e+04
2.233886718750000087e-04,2.108629999999999927e+04
2.246093749999999827e-04,2.089440000000000146e+04
2.258300781250000108e-04,2.043550000000000000e+04
2.270507812499999848e-04,2.188050000000000000e+04
2.282714843750000130e-04,2.078709999999999854e+04
2.294921874999999870e-04,2.094309999999999854e+04
2.307128906250000152e-04,2.118420000000000073e+04
2.319335937499999892e-04,2.146920000000000073e+04
2.331542968749999902e-04,2.166290000000000146e+04
2.343750000000000184e-04,2.080679999999999927e+04
