freq_Hz,Re,Im
0.0000000000e+00,8.5407758314e-02,0.0000000000e+00
1.0012221951e+08,-5.3695427562e-02,-1.3020286598e-02
2.0024443901e+08,2.4274849362e-02,-3.4906737862e-02
3.0036665852e+08,-4.6406424349e-02,7.1898132561e-02
4.0048887802e+08,8.4190203329e-02,-6.1921781998e-02
5.0061109753e+08,-9.0665303623e-02,5.9437959858e-02
6.0073331704e+08,8.9658800274e-02,6.9554522504e-03
7.0085553654e+08,-1.2605498719e-01,-4.7071862313e-02
8.0097775605e+08,2.0059504178e-01,-8.9732504982e-02
9.0109997556e+08,-1.6226071801e-01,3.1885630315e-01
1.0012221951e+09,-9.9965546814e-02,-4.0314542760e-01
1.1013444146e+09,2.0202787570e-01,3.2716366909e-01
1.2014666341e+09,-1.9704705600e-01,-3.4416240155e-01
1.3015888536e+09,3.4366423503e-01,2.7438389115e-01
1.4017110731e+09,-2.1796471615e-01,2.1790353385e-02
1.5018332926e+09,-1.2280249564e-01,-3.4882217703e-01
1.6019555121e+09,2.3036369757e-01,5.2146538001e-01
1.7020777316e+09,1.8871733747e-01,-3.9779946083e-01
1.8021999511e+09,-5.0847024199e-01,1.7547194592e-01
1.9023221706e+09,3.1614363086e-01,-2.1785261710e-01
2.0024443901e+09,-3.6824800044e-01,3.4691246132e-01
2.1025666096e+09,3.1236845819e-01,-7.9020588770e-02
2.2026888291e+09,1.5300725658e-02,-1.5512627684e-01
2.3028110486e+09,3.7162220656e-01,1.7348482609e-01
2.4029332681e+09,-1.2188215352e+00,4.5113430205e-02
2.5030554877e+09,1.0779697192e+00,-4.4128515922e-01
2.6031777072e+09,-1.9142565079e-01,1.6186956900e-01
2.7032999267e+09,5.1477349169e-02,6.9811413821e-02
2.8034221462e+09,-4.7223384523e-01,5.0233667569e-01
2.9035443657e+09,2.4414282261e-01,-8.6258246595e-01
3.0036665852e+09,2.9478986272e-01,8.0389746396e-01
3.1037888047e+09,1.3578306085e-02,-9.1851568622e-01
3.2039110242e+09,-4.9743515269e-01,6.6787286578e-01
3.3040332437e+09,9.2734003107e-02,1.5754088991e-01
3.4041554632e+09,2.0783318821e-01,-4.6397177439e-01
3.5042776827e+09,7.4510968582e-01,3.8948282901e-02
3.6043999022e+09,-1.0958432504e+00,1.3867477579e-01
3.7045221217e+09,-5.1815136722e-01,2.0773229718e-02
3.8046443412e+09,1.6312794197e+00,5.6354470102e-01
3.9047665607e+09,-9.2129809011e-01,-9.3301866301e-01
4.0048887802e+09,-1.7749137492e-01,-4.0274854297e-02
4.1050109998e+09,6.5098554191e-01,5.4519663712e-01
4.2051332193e+09,-6.0384200509e-01,-2.5954988381e-01
4.3052554388e+09,-2.7287454021e-01,2.6318480904e-01
4.4053776583e+09,1.4480914582e+00,-8.6763834425e-01
4.5054998778e+09,-1.0571236952e+00,1.4110630422e+00
4.6056220973e+09,7.1629934031e-01,-7.6945474262e-01
4.7057443168e+09,-1.2898057039e+00,3.7169732355e-01
4.8058665363e+09,1.2368486699e+00,-1.1722845120e+00
4.9059887558e+09,-1.0151034449e+00,1.3105847371e+00
5.0061109753e+09,-1.6807059180e-01,-8.8387725257e-01
5.1062331948e+09,1.5159510042e+00,1.0793942190e+00
5.2063554143e+09,-1.4128211204e+00,-1.0676350894e+00
5.3064776338e+09,1.0468453480e+00,3.7313970357e-01
5.4065998533e+09,-4.7321070503e-01,-7.1176380697e-02
5.5067220728e+09,1.4823282858e-01,-8.8217954420e-03
5.6068442923e+09,-1.5941284154e-02,7.0746343496e-01
5.7069665119e+09,-3.7002015984e-01,-4.9777364840e-02
5.8070887314e+09,-4.8237516908e-01,-5.2221818240e-01
5.9072109509e+09,1.1149342536e+00,-4.7574823893e-01
6.0073331704e+09,-6.6167700330e-01,-1.3240262867e-01
6.1074553899e+09,5.6203744848e-01,1.2536920641e+00
6.2075776094e+09,1.8634966444e-02,-9.8355018194e-01
6.3076998289e+09,1.9084116005e-01,8.9459824613e-02
6.4078220484e+09,-1.1418265297e+00,3.2180286210e-01
6.5079442679e+09,5.8741920450e-01,-5.7289548392e-01
6.6080664874e+09,-7.0159379403e-01,1.5163026583e+00
6.7081887069e+09,1.8552522379e+00,-1.1879227588e+00
6.8083109264e+09,-1.1799921768e+00,-8.3699458938e-01
6.9084331459e+09,-5.1645164311e-02,2.1666062455e+00
7.0085553654e+09,-8.5221148254e-02,-1.6721406789e+00
7.1086775849e+09,-3.0382328709e-02,8.4426481511e-01
7.2087998044e+09,1.1012011766e-01,-3.2790342343e-01
7.3089220240e+09,2.5028019498e-02,-3.8725057812e-01
7.4090442435e+09,1.5301037981e+00,9.8908591197e-01
7.5091664630e+09,-2.3981632655e+00,-2.1840161275e+00
7.6092886825e+09,9.0479143955e-01,2.5964744146e+00
7.7094109020e+09,1.1792618114e+00,-1.0310548970e+00
7.8095331215e+09,-1.5838999942e+00,-3.2279381080e-01
