Frequency(GHz),Differential_Magnitude(dB)
0.000000000000000000e+00,-7.099655522909543492e+00
1.001222195062332065e-01,-1.225257624581462679e+01
2.002444390124664131e-01,-1.690288456409085782e+01
3.003666585186995919e-01,-1.362439095668276146e+01
4.004888780249328262e-01,-1.131241252010764420e+01
5.006110975311660605e-01,-9.016708402588909266e+00
6.007333170373991837e-01,-7.933107399910427127e+00
7.008555365436324180e-01,-5.294606820293115135e+00
8.009777560498656523e-01,-3.054033900924510991e+00
9.010999755560987756e-01,-3.958529433584796475e+00
1.001222195062332121e+00,-1.896433453074026332e+00
1.101344414568565133e+00,4.278560643023426313e-01
1.201466634074798367e+00,6.464980185122081169e-01
1.301588853581031602e+00,2.097009938989633504e-01
1.401711073087264836e+00,-3.948625452220011489e-01
1.501833292593498070e+00,1.206979998944059940e+00
1.601955512099731305e+00,1.533083227200387144e+00
1.702077731605964317e+00,1.028920861273416448e-01
1.802199951112197551e+00,7.459993094357388888e-01
1.902322170618430786e+00,1.899685221204968855e+00
2.002444390124664242e+00,2.820621184774769752e+00
2.102566609630897254e+00,3.171133889983543064e+00
2.202688829137130266e+00,2.766492163631675716e+00
2.302811048643363279e+00,4.201422648558609474e+00
2.402933268149596735e+00,5.696004385888972621e+00
2.503055487655829747e+00,8.685236527324383005e+00
2.603177707162063204e+00,9.293390350198688310e+00
2.703299926668296216e+00,5.914653422923278114e+00
2.803422146174529672e+00,4.210608441300798255e+00
2.903544365680762684e+00,4.614356519122946310e+00
3.003666585186996141e+00,7.591537842367017674e+00
3.103788804693229153e+00,7.180012248928330010e+00
3.203911024199462609e+00,7.682797063453071118e+00
3.304033243705695622e+00,8.106660525116575755e+00
3.404155463211928634e+00,6.500404080225521852e+00
3.504277682718162090e+00,6.831437871775408510e+00
3.604399902224395102e+00,1.006266469001982244e+01
3.704522121730628559e+00,8.072214442832619241e+00
3.804644341236861571e+00,8.800574517887865156e+00
3.904766560743095027e+00,9.090885341127416197e+00
4.004888780249328484e+00,7.304946103767364640e+00
4.105010999755561052e+00,1.072576625070248113e+01
4.205133219261794508e+00,9.223567078600172664e+00
4.305255438768027076e+00,5.504323234585871916e+00
4.405377658274260533e+00,8.955563035728321353e+00
4.505499877780493989e+00,8.596406279580749654e+00
4.605622097286726557e+00,1.211776880407873058e+01
4.705744316792960014e+00,1.272812629794785089e+01
4.805866536299193470e+00,1.160709867952457586e+01
4.905988755805426926e+00,1.125428150107052261e+01
5.006110975311659494e+00,9.529463645933452298e+00
5.106233194817892951e+00,1.025033241955955177e+01
5.206355414324126407e+00,9.203595023747826787e+00
5.306477633830359864e+00,8.522958892870516223e+00
5.406599853336592432e+00,9.579506703804652190e+00
5.506722072842825888e+00,1.184184045598797930e+01
5.606844292349059344e+00,1.287397754649829018e+01
5.706966511855291913e+00,1.213597882196562239e+01
5.807088731361525369e+00,9.660670866499405207e+00
5.907210950867758825e+00,1.057470703639368281e+01
6.007333170373992282e+00,1.141082903965432926e+01
6.107455389880224850e+00,1.290840041380529435e+01
