Time(us),Differential_Amplitude
0.000000000000000000e+00,-4.794444444444444571e+02
1.220703125000000025e-06,2.332222222222222285e+02
2.441406250000000051e-06,-2.898888888888889142e+02
3.662109375000000288e-06,-1.642222222222222285e+02
4.882812500000000102e-06,1.005555555555555571e+02
6.103515624999999492e-06,2.444444444444444571e+02
7.324218750000000576e-06,1.052222222222222285e+02
8.544921875000000813e-06,3.386666666666666856e+02
9.765625000000000203e-06,2.870000000000000000e+02
1.098632812499999959e-05,-3.266666666666666856e+02
1.220703124999999898e-05,2.705555555555555429e+02
1.342773437500000007e-05,1.922222222222222285e+02
1.464843750000000115e-05,-3.942222222222222285e+02
1.586914062500000054e-05,-2.977777777777777715e+02
1.708984375000000163e-05,1.805555555555555429e+02
1.831054687499999932e-05,-3.105555555555555429e+02
1.953125000000000041e-05,2.214444444444444571e+02
2.075195312500000149e-05,1.744444444444444287e+01
2.197265624999999919e-05,-5.641111111111110858e+02
2.319335937500000027e-05,6.847777777777778283e+02
2.441406249999999797e-05,1.825555555555555429e+02
2.563476562499999905e-05,-1.010000000000000000e+02
2.685546875000000014e-05,5.466666666666666430e+01
2.807617187499999783e-05,6.852222222222221717e+02
2.929687500000000230e-05,-1.815555555555555429e+02
3.051757812500000000e-05,-3.401111111111110858e+02
3.173828125000000108e-05,-6.990000000000000000e+02
3.295898437500000217e-05,-4.601111111111110858e+02
3.417968750000000325e-05,4.211111111111111427e+01
3.540039062500000434e-05,-9.335555555555555429e+02
3.662109374999999864e-05,-1.811111111111111143e+02
3.784179687499999973e-05,3.423333333333333144e+02
3.906250000000000081e-05,4.995555555555555429e+02
4.028320312500000190e-05,-2.955555555555555429e+02
4.150390625000000298e-05,3.271111111111110858e+02
4.272460937499999729e-05,6.392222222222221717e+02
4.394531249999999837e-05,2.354444444444444571e+02
4.516601562499999946e-05,1.151111111111111143e+02
4.638671875000000054e-05,3.745555555555555429e+02
4.760742187500000163e-05,6.956666666666666288e+02
4.882812499999999593e-05,1.755555555555555429e+02
5.004882812499999702e-05,-3.747777777777777715e+02
5.126953124999999810e-05,-4.164444444444444571e+02
5.249023437499999919e-05,-2.402222222222222285e+02
5.371093750000000027e-05,-4.573333333333333144e+02
5.493164062500000136e-05,-1.455555555555555429e+02
5.615234374999999566e-05,2.264444444444444571e+02
5.737304687499999675e-05,-3.308888888888889142e+02
5.859375000000000461e-05,6.122222222222222143e+01
5.981445312499999892e-05,1.877777777777777715e+02
6.103515625000000000e-05,-1.954444444444444571e+02
6.225585937500000108e-05,-1.295555555555555429e+02
6.347656250000000217e-05,8.663333333333333712e+02
6.469726562500000325e-05,5.177777777777778283e+02
6.591796875000000434e-05,2.044444444444444571e+02
6.713867187500000542e-05,-7.801111111111110858e+02
6.835937500000000651e-05,1.733333333333333215e+01
6.958007812500000759e-05,3.464444444444444571e+02
7.080078125000000867e-05,-4.426666666666666856e+02
7.202148437499999621e-05,-2.878888888888889142e+02
7.324218749999999729e-05,5.547777777777778283e+02
7.446289062499999837e-05,2.677777777777777715e+02
7.568359374999999946e-05,-8.972222222222221717e+02
7.690429687500000054e-05,-2.762222222222222285e+02
7.812500000000000163e-05,5.822222222222222143e+01
7.934570312500000271e-05,7.933333333333333712e+02
8.056640625000000379e-05,3.014444444444444571e+02
8.178710937500000488e-05,3.333333333333333481e+00
8.300781250000000596e-05,9.844444444444444287e+01
8.422851562500000705e-05,-2.700000000000000000e+02
8.544921874999999458e-05,1.952222222222222285e+02
8.666992187499999566e-05,-5.750000000000000000e+02
8.789062499999999675e-05,4.477777777777777715e+02
8.911132812499999783e-05,4.688888888888889142e+02
9.033203124999999892e-05,2.537777777777777715e+02
9.155273437500000000e-05,-6.771111111111110858e+02
9.277343750000000108e-05,-4.247777777777777715e+02
9.399414062500000217e-05,3.302222222222222285e+02
9.521484375000000325e-05,1.905555555555555429e+02
9.643554687500000434e-05,2.353333333333333428e+02
9.765624999999999187e-05,-4.740000000000000000e+02
9.887695312499999295e-05,2.063333333333333428e+02
1.000976562499999940e-04,7.011111111111111427e+01
1.013183593749999951e-04,-7.872222222222221717e+02
1.025390624999999962e-04,1.352222222222222285e+02
1.037597656249999973e-04,4.961111111111110858e+02
1.049804687499999984e-04,-3.282222222222222285e+02
1.062011718749999995e-04,-3.155555555555555429e+02
1.074218750000000005e-04,-1.816666666666666572e+02
1.086425781250000016e-04,-2.491111111111111143e+02
1.098632812500000027e-04,3.881111111111110858e+02
1.110839843749999902e-04,5.242222222222221717e+02
1.123046874999999913e-04,-2.331111111111111143e+02
1.135253906249999924e-04,4.912222222222222285e+02
1.147460937499999935e-04,-2.780000000000000000e+02
1.159667968749999946e-04,-1.978888888888888857e+02
1.171875000000000092e-04,3.102222222222222285e+02
1.184082031250000103e-04,6.433333333333333712e+02
