Frequency(GHz),Magnitude(dB)
0.000000000000000000e+00,1.385440039153836622e+01
1.000000000000000056e-01,1.900647128885564996e+01
2.000000000000000111e-01,1.897416526836464357e+01
2.999999999999999889e-01,1.931426627814494168e+01
4.000000000000000222e-01,1.876668905748495675e+01
5.000000000000000000e-01,1.916379967842676635e+01
5.999999999999999778e-01,1.873955041745147554e+01
6.999999999999999556e-01,1.987531006718356608e+01
8.000000000000000444e-01,2.122397333817228926e+01
9.000000000000000222e-01,1.928887440998953906e+01
1.000000000000000000e+00,2.022244576931166549e+01
1.100000000000000089e+00,2.190898967755625293e+01
1.199999999999999956e+00,2.138228738796100714e+01
1.300000000000000044e+00,2.021712766897741176e+01
1.399999999999999911e+00,1.910986031836567633e+01
1.500000000000000000e+00,1.993088027888516223e+01
1.600000000000000089e+00,1.976743070594169183e+01
1.699999999999999956e+00,1.788309454487126970e+01
1.800000000000000044e+00,1.797284202841563072e+01
1.899999999999999911e+00,1.855972518435160623e+01
2.000000000000000000e+00,1.913740041543589854e+01
2.100000000000000089e+00,1.900718753274551176e+01
2.200000000000000178e+00,1.811711432819738476e+01
2.299999999999999822e+00,1.938359113117393306e+01
2.399999999999999911e+00,2.023454344113165959e+01
2.500000000000000000e+00,2.292723831611860774e+01
2.600000000000000089e+00,2.339589644743357510e+01
2.700000000000000178e+00,1.971825871472027814e+01
2.799999999999999822e+00,1.758864555904761673e+01
2.899999999999999911e+00,1.758323619917862146e+01
3.000000000000000000e+00,2.028715717155098375e+01
3.100000000000000089e+00,1.981286763565900699e+01
3.200000000000000178e+00,1.982681287938022763e+01
3.299999999999999822e+00,2.009846705163660374e+01
3.399999999999999911e+00,1.845258197897823393e+01
3.500000000000000000e+00,1.796150514735093395e+01
3.600000000000000089e+00,2.122844308432614469e+01
3.700000000000000178e+00,1.914234370133372209e+01
3.799999999999999822e+00,1.948011776916695936e+01
3.899999999999999911e+00,1.965947289410174292e+01
4.000000000000000000e+00,1.766971460354196211e+01
4.099999999999999645e+00,2.061031637542177464e+01
4.200000000000000178e+00,1.949241793095679753e+01
4.299999999999999822e+00,1.486004050007918131e+01
4.400000000000000355e+00,1.833757886918813895e+01
4.500000000000000000e+00,1.786877895940846628e+01
4.599999999999999645e+00,2.088816563645232804e+01
4.700000000000000178e+00,2.173554653004370607e+01
4.799999999999999822e+00,2.031317127105885945e+01
4.900000000000000355e+00,1.992071785291922481e+01
5.000000000000000000e+00,1.803439166199380850e+01
5.099999999999999645e+00,1.835921808532614463e+01
5.200000000000000178e+00,1.748907686679480378e+01
5.299999999999999822e+00,1.610074129601637694e+01
5.400000000000000355e+00,1.747991653973938853e+01
5.500000000000000000e+00,1.905121911787973232e+01
5.599999999999999645e+00,2.022782573299866016e+01
5.700000000000000178e+00,1.956618679432156327e+01
5.799999999999999822e+00,1.681680092058163112e+01
5.900000000000000355e+00,1.735025898058008664e+01
6.000000000000000000e+00,1.816763081495038534e+01
6.099999999999999645e+00,1.956061323760286541e+01
6.200000000000000178e+00,1.895101375748671302e+01
6.299999999999999822e+00,1.977910488464807415e+01
6.400000000000000355e+00,1.894699227017571630e+01
6.500000000000000000e+00,2.004742659191704490e+01
6.599999999999999645e+00,1.943055827779950917e+01
6.700000000000000178e+00,1.834117688036015537e+01
6.799999999999999822e+00,1.557483590827058606e+01
6.900000000000000355e+00,1.966628607860873501e+01
7.000000000000000000e+00,1.908314032720442555e+01
7.099999999999999645e+00,1.943301928699755265e+01
7.200000000000000178e+00,1.970279517975881589e+01
7.299999999999999822e+00,1.872530793018956530e+01
7.400000000000000355e+00,1.800061330704311047e+01
7.500000000000000000e+00,1.956506805307855501e+01
7.599999999999999645e+00,2.032426138146236738e+01
7.700000000000000178e+00,1.751548772002434973e+01
7.799999999999999822e+00,2.071938796467766508e+01
7.900000000000000355e+00,1.988636034165044464e+01
8.000000000000000000e+00,1.927781898735534583e+01
8.099999999999999645e+00,1.734036017582639388e+01
8.199999999999999289e+00,1.722711967673440370e+01
8.300000000000000711e+00,1.778703420146185366e+01
8.400000000000000355e+00,1.928773888274731263e+01
8.500000000000000000e+00,2.190117034226464199e+01
8.599999999999999645e+00,1.925650592426293173e+01
8.699999999999999289e+00,1.806380574714202680e+01
8.800000000000000711e+00,1.914127839727622771e+01
8.900000000000000355e+00,1.675054577382974941e+01
9.000000000000000000e+00,1.909161347811160780e+01
9.099999999999999645e+00,1.766401804660027963e+01
9.199999999999999289e+00,1.943148742555882080e+01
9.300000000000000711e+00,1.804210276966239945e+01
9.400000000000000355e+00,1.867357395553693422e+01
9.500000000000000000e+00,1.654672642291214046e+01
9.599999999999999645e+00,1.961715840590804305e+01
9.699999999999999289e+00,1.899416902982035538e+01
9.800000000000000711e+00,1.899116472590451821e+01
9.900000000000000355e+00,1.931156250210218062e+01
1.000000000000000000e+01,1.822740351521287749e+01
1.009999999999999964e+01,1.810064024256325865e+01
1.019999999999999929e+01,2.243227596194987683e+01
1.030000000000000071e+01,2.156216906995739890e+01
1.040000000000000036e+01,1.999370679741241474e+01
1.050000000000000000e+01,1.957718642516768881e+01
1.059999999999999964e+01,2.025407171027916675e+01
1.069999999999999929e+01,2.095936793052868197e+01
1.080000000000000071e+01,1.898792707853700890e+01
1.090000000000000036e+01,1.947063736549435120e+01
1.100000000000000000e+01,2.096708570726259779e+01
1.109999999999999964e+01,1.865187951459672178e+01
1.119999999999999929e+01,1.909585315965140850e+01
1.130000000000000071e+01,1.580847580694202392e+01
1.140000000000000036e+01,1.690881906318709582e+01
1.150000000000000000e+01,1.958181046053710972e+01
1.159999999999999964e+01,2.012781697849392515e+01
1.169999999999999929e+01,2.139927675802973184e+01
1.180000000000000071e+01,2.026000593906857716e+01
1.190000000000000036e+01,1.966903008068646130e+01
1.200000000000000000e+01,2.005265816737817630e+01
1.209999999999999964e+01,1.921122686916447009e+01
1.219999999999999929e+01,2.019824538038279016e+01
1.230000000000000071e+01,2.061134657398946501e+01
1.240000000000000036e+01,1.897714600325238266e+01
1.250000000000000000e+01,1.859127289602358601e+01
1.259999999999999964e+01,1.801231265888075583e+01
1.269999999999999929e+01,1.831024577011633525e+01
1.280000000000000071e+01,1.830687160597812380e+01
1.290000000000000036e+01,1.653123671381887405e+01
1.300000000000000000e+01,1.906368090023248740e+01
1.309999999999999964e+01,1.945297666197325981e+01
1.319999999999999929e+01,1.651256356817983928e+01
1.330000000000000071e+01,1.704681891437801511e+01
1.340000000000000036e+01,1.720922605308646780e+01
1.350000000000000000e+01,1.765917311896039266e+01
1.359999999999999964e+01,1.818277125615575329e+01
1.369999999999999929e+01,1.764641281251348559e+01
1.380000000000000071e+01,1.854720685666815783e+01
1.390000000000000036e+01,1.964177849567413503e+01
1.400000000000000000e+01,1.965523496201029374e+01
1.409999999999999964e+01,1.866269510061153625e+01
1.419999999999999929e+01,1.720077082749623543e+01
1.430000000000000071e+01,1.763719753981162341e+01
1.440000000000000036e+01,1.646459830382819689e+01
1.450000000000000000e+01,1.763633098607387240e+01
1.459999999999999964e+01,1.698698146333770964e+01
1.469999999999999929e+01,1.802255502422431377e+01
1.480000000000000071e+01,1.890159517202548756e+01
1.490000000000000036e+01,2.038373248000923255e+01
1.500000000000000000e+01,1.983038857184480719e+01
1.509999999999999964e+01,2.028039562409185947e+01
1.519999999999999929e+01,2.071828306843048040e+01
1.530000000000000071e+01,1.777101506725134072e+01
1.540000000000000036e+01,1.818198442430194817e+01
1.550000000000000000e+01,1.935997610807765668e+01
1.559999999999999964e+01,1.977458011629587276e+01
1.569999999999999929e+01,1.855644353433769922e+01
1.580000000000000071e+01,1.935109802175822580e+01
1.590000000000000036e+01,2.015996924949622837e+01
1.600000000000000000e+01,1.967473714702968124e+01
1.610000000000000142e+01,1.901098882372311039e+01
1.619999999999999929e+01,2.008483417422748118e+01
1.630000000000000071e+01,1.946952763367727712e+01
1.639999999999999858e+01,1.723881435850175592e+01
1.650000000000000000e+01,1.799814423213370418e+01
1.660000000000000142e+01,2.015975282811386293e+01
1.669999999999999929e+01,2.006440670282563232e+01
1.680000000000000071e+01,1.668389365195702112e+01
1.689999999999999858e+01,1.838392483931474786e+01
1.700000000000000000e+01,1.824702148696170312e+01
1.710000000000000142e+01,1.882849915625515180e+01
1.719999999999999929e+01,1.939955757073369469e+01
1.730000000000000071e+01,1.905290155027254073e+01
1.739999999999999858e+01,1.858841434200782317e+01
1.750000000000000000e+01,1.945340836205971868e+01
1.760000000000000142e+01,1.879626576788891512e+01
1.769999999999999929e+01,1.945544881577057339e+01
1.780000000000000071e+01,1.997571600936474212e+01
1.789999999999999858e+01,2.175523954172343366e+01
1.800000000000000000e+01,2.070986921435056161e+01
1.810000000000000142e+01,2.043883204143826049e+01
1.819999999999999929e+01,1.958243319343499778e+01
1.830000000000000071e+01,1.988220319387238888e+01
1.839999999999999858e+01,1.977231292383900296e+01
1.850000000000000000e+01,1.936174210959908848e+01
1.860000000000000142e+01,2.190031759691573043e+01
1.869999999999999929e+01,2.094885247783799898e+01
1.880000000000000071e+01,1.912046511022771966e+01
1.889999999999999858e+01,2.043455182151068072e+01
1.900000000000000000e+01,2.007645182833079645e+01
1.910000000000000142e+01,1.721076019267238522e+01
1.919999999999999929e+01,1.800155842826826103e+01
1.930000000000000071e+01,1.978960025866517825e+01
1.939999999999999858e+01,2.009158812744707490e+01
1.950000000000000000e+01,2.072938453452085383e+01
1.960000000000000142e+01,2.085900120925077772e+01
1.969999999999999929e+01,1.953560467752781804e+01
1.980000000000000071e+01,2.138624647529735157e+01
