Time(us),Amplitude
0.000000000000000000e+00,-2.125831111111111240e+05
1.220703125000000025e-06,-2.128148888888888760e+05
2.441406250000000051e-06,-2.124181111111111240e+05
3.662109375000000288e-06,-2.125407777777777810e+05
4.882812500000000102e-06,-2.129084444444444380e+05
6.103515624999999492e-06,-2.124925555555555620e+05
7.324218750000000576e-06,-2.126316666666666570e+05
8.544921875000000813e-06,-2.127286666666666570e+05
9.765625000000000203e-06,-2.124990000000000000e+05
1.098632812499999959e-05,-2.125600000000000000e+05
1.220703124999999898e-05,-2.130625555555555620e+05
1.342773437500000007e-05,-2.125816666666666570e+05
1.464843750000000115e-05,-2.127080000000000000e+05
1.586914062500000054e-05,-2.127050000000000000e+05
1.708984375000000163e-05,-2.128078888888888760e+05
1.831054687499999932e-05,-2.122481111111111240e+05
1.953125000000000041e-05,-2.125264444444444380e+05
2.075195312500000149e-05,-2.123900000000000000e+05
2.197265624999999919e-05,-2.122120000000000000e+05
2.319335937500000027e-05,-2.128866666666666570e+05
2.441406249999999797e-05,-2.127920000000000000e+05
2.563476562499999905e-05,-2.123894444444444380e+05
2.685546875000000014e-05,-2.131022222222222190e+05
2.807617187499999783e-05,-2.130027777777777810e+05
2.929687500000000230e-05,-2.126273333333333430e+05
3.051757812500000000e-05,-2.125586666666666570e+05
3.173828125000000108e-05,-2.123050000000000000e+05
3.295898437500000217e-05,-2.123725555555555620e+05
3.417968750000000325e-05,-2.127761111111111240e+05
3.540039062500000434e-05,-2.122018888888888760e+05
3.662109374999999864e-05,-2.126094444444444380e+05
3.784179687499999973e-05,-2.124904444444444380e+05
3.906250000000000081e-05,-2.130475555555555620e+05
4.028320312500000190e-05,-2.123175555555555620e+05
4.150390625000000298e-05,-2.128088888888888760e+05
4.272460937499999729e-05,-2.128987777777777810e+05
4.394531249999999837e-05,-2.130040000000000000e+05
4.516601562499999946e-05,-2.128326666666666570e+05
4.638671875000000054e-05,-2.127340000000000000e+05
4.760742187500000163e-05,-2.131354444444444380e+05
4.882812499999999593e-05,-2.127905555555555620e+05
5.004882812499999702e-05,-2.121481111111111240e+05
5.126953124999999810e-05,-2.125480000000000000e+05
5.249023437499999919e-05,-2.126131111111111240e+05
5.371093750000000027e-05,-2.124817777777777810e+05
5.493164062500000136e-05,-2.122595555555555620e+05
5.615234374999999566e-05,-2.127685555555555620e+05
5.737304687499999675e-05,-2.127175555555555620e+05
5.859375000000000461e-05,-2.123594444444444380e+05
5.981445312499999892e-05,-2.124397777777777810e+05
6.103515625000000000e-05,-2.126150000000000000e+05
6.225585937500000108e-05,-2.125228888888888760e+05
6.347656250000000217e-05,-2.129644444444444380e+05
6.469726562500000325e-05,-2.128533333333333430e+05
6.591796875000000434e-05,-2.129391111111111240e+05
6.713867187500000542e-05,-2.124051111111111240e+05
6.835937500000000651e-05,-2.125421111111111240e+05
6.958007812500000759e-05,-2.130484444444444380e+05
7.080078125000000867e-05,-2.122982222222222190e+05
7.202148437499999621e-05,-2.122520000000000000e+05
7.324218749999999729e-05,-2.128104444444444380e+05
7.446289062499999837e-05,-2.126524444444444380e+05
7.568359374999999946e-05,-2.120981111111111240e+05
7.690429687500000054e-05,-2.123355555555555620e+05
7.812500000000000163e-05,-2.127346666666666570e+05
7.934570312500000271e-05,-2.131852222222222190e+05
8.056640625000000379e-05,-2.125247777777777810e+05
8.178710937500000488e-05,-2.127020000000000000e+05
8.300781250000000596e-05,-2.127408888888888760e+05
8.422851562500000705e-05,-2.125398888888888760e+05
8.544921874999999458e-05,-2.122556666666666570e+05
8.666992187499999566e-05,-2.123846666666666570e+05
8.789062499999999675e-05,-2.129953333333333430e+05
8.911132812499999783e-05,-2.126117777777777810e+05
9.033203124999999892e-05,-2.126764444444444380e+05
9.155273437500000000e-05,-2.123918888888888760e+05
9.277343750000000108e-05,-2.122233333333333430e+05
